epoch,step,train_loss,val_loss
0,49,,0.5458051562309265
0,49,0.8865909576416016,
1,99,,0.5323841571807861
1,99,0.6796643733978271,
2,149,,0.6380263566970825
2,149,0.5712836980819702,
3,199,,0.4739554226398468
3,199,0.46613064408302307,
4,249,,0.16231660544872284
4,249,0.36972564458847046,
5,299,,0.2116180956363678
5,299,0.2906952500343323,
6,349,,0.2798394560813904
6,349,0.17494884133338928,
7,399,,0.03840184211730957
7,399,0.1388467252254486,
8,449,,0.13174687325954437
8,449,0.12184053659439087,
9,499,,0.24857164919376373
9,499,0.0770786851644516,
10,549,,-0.11992035061120987
10,549,0.018338602036237717,
11,599,,-0.0778694674372673
11,599,0.0058885421603918076,
12,649,,-0.029528729617595673
12,649,0.021445199847221375,
13,699,,0.23507973551750183
13,699,0.07687536627054214,
14,749,,-0.13199429214000702
14,749,0.022631321102380753,
15,799,,-0.23369762301445007
15,799,-0.03803861886262894,
16,849,,0.21837489306926727
16,849,-0.059804365038871765,
17,899,,-0.051225487142801285
17,899,-0.1445191353559494,
18,949,,0.4683317244052887
18,949,-0.016960132867097855,
19,999,,0.04700656607747078
19,999,-0.14582501351833344,
20,1049,,-0.5014606714248657
20,1049,-0.0361161082983017,
21,1099,,0.11849050223827362
21,1099,-0.06522776931524277,
22,1149,,0.18224340677261353
22,1149,-0.09882906079292297,
23,1199,,-0.3090505599975586
23,1199,-0.058352187275886536,
24,1249,,0.022624310106039047
24,1249,-0.04392198100686073,
25,1299,,-0.3960881233215332
25,1299,-0.23950126767158508,
26,1349,,-0.01393799763172865
26,1349,-0.153911292552948,
27,1399,,-0.5345987677574158
27,1399,-0.12973050773143768,
28,1449,,0.3957969546318054
28,1449,-0.10581867396831512,
29,1499,,-0.22407178580760956
29,1499,-0.07911012321710587,
30,1549,,0.11018797755241394
30,1549,-0.2525835335254669,
31,1599,,-0.03738584369421005
31,1599,-0.2631016969680786,
32,1649,,-0.3354983329772949
32,1649,-0.13285836577415466,
33,1699,,-0.3109773099422455
33,1699,-0.2599247097969055,
34,1749,,-0.27795082330703735
34,1749,-0.18349452316761017,
35,1799,,-0.5679725408554077
35,1799,-0.2949295938014984,
36,1849,,-0.10258349031209946
36,1849,-0.22999680042266846,
37,1899,,-0.08081624656915665
37,1899,-0.2639563977718353,
38,1949,,-0.5696887969970703
38,1949,-0.2317567765712738,
39,1999,,0.1748470962047577
39,1999,-0.2526959180831909,
40,2049,,-0.17552174627780914
40,2049,-0.27293291687965393,
41,2099,,0.21484552323818207
41,2099,-0.30565571784973145,
42,2149,,0.23692257702350616
42,2149,-0.23434966802597046,
43,2199,,0.013851825147867203
43,2199,-0.18025921285152435,
44,2249,,-0.27976563572883606
44,2249,-0.2939850986003876,
45,2299,,0.08210107684135437
45,2299,-0.29127347469329834,
46,2349,,0.05533178523182869
46,2349,-0.25857898592948914,
47,2399,,-0.013283196836709976
47,2399,-0.2799778878688812,
48,2449,,-0.4973066747188568
48,2449,-0.28212809562683105,
49,2499,,-0.2357928603887558
49,2499,-0.29875683784484863,
